kmage;mileage;price_rub;price_usd;vol;power;fuel
107500;66797;585000;7961,9200;1,6;82;Бензин
137327;85331;412502;5614,2000;1,4;75;Бензин
12016;7466;755000;10275,6500;1,6;102;Бензин
108000;67108;650000;8846,5800;1,6;113;Бензин
38000;23612;370000;5035,7500;1,4;75;Бензин
101000;62758;520000;7077,2700;1,6;84;Бензин
63659;39556;640000;8710,4800;1,6;113;Бензин
27324;16978;715000;9731,2400;1,6;102;Бензин
83000;51574;500000;6805,0600;1,6;103;Бензин
51000;31690;560000;7621,6700;1,6;84;Бензин
0;0;966000;13147,3800;1,6;113;Бензин
0;0;985000;13405,9800;1,6;113;Бензин
57000;35418;739000;10057,8800;1,6;102;Бензин
77000;47846;339000;4613,8300;1,4;75;Бензин
123000;76429;467000;6355,9300;1,6;84;Бензин
65000;40389;630000;8574,3800;1,6;82;Бензин
91052;56577;580000;7893,8700;1,6;102;Бензин
55000;34175;379000;5158,2400;1,4;75;Бензин
120000;74565;439000;5974,8500;1,6;103;Бензин
15000;9321;845000;11500,5600;1,6;113;Бензин
107;66;1113000;15148,0700;1,6;113;Бензин
66578;41370;610000;8302,1800;1,6;113;Бензин
37361;23215;649000;8832,9700;1,6;82;Бензин
114000;70836;370000;5035,7500;1,4;75;Бензин
117500;73011;600000;8166,0800;1,6;113;Бензин
155000;96313;495000;6737,0100;1,6;84;Бензин
22084;13722;840000;11432,5100;1,6;113;Бензин
90500;56234;595000;8098,0300;1,6;102;Бензин
103000;64001;495000;6737,0100;1,6;102;Бензин
700;435;900000;12249,1100;1,6;113;Бензин
122000;75807;488000;6641,7400;1,6;84;Бензин
62276;38697;677000;9214,0600;1,6;82;Бензин
54000;33554;655000;8914,6300;1,6;102;Бензин
0;0;781000;10629,5100;1,6;113;Бензин
44700;27775;385000;5239,9000;1,6;103;Бензин
0;0;722748;9836,6900;1,6;82;Бензин
77000;47846;650000;8846,5800;1,6;82;Бензин
77000;47846;650000;8846,5800;1,6;82;Бензин
82000;50952;698000;9499,8700;1,6;82;Бензин
0;0;791000;10765,6100;1,6;113;Бензин
140000;86992;350000;4763,5400;1,6;84;Бензин
100000;62137;420000;5716,2500;1,6;84;Бензин
137327;85331;412502;5614,2000;1,4;75;Бензин
31027;19279;480000;6532,8600;1,6;103;Бензин
149376;92818;395000;5376,0000;1,6;84;Бензин
83000;51574;490000;6668,9600;1,6;82;Бензин
41346;25691;699000;9513,4800;1,6;82;Бензин
0;0;897000;12208,2800;1,6;113;Бензин
88910;55246;595000;8098,0300;1,6;82;Бензин
85000;52817;420000;5716,2500;1,6;103;Бензин
82000;50952;590000;8029,9700;1,6;82;Бензин
150000;93206;263000;3579,4600;1,4;75;Бензин
87000;54059;480000;6532,8600;1,6;84;Бензин
0;0;751000;10221,2100;1,6;82;Бензин
0;0;747000;10166,7600;1,6;82;Бензин
72000;44739;659000;8969,0700;1,6;102;Бензин
66136;41095;699000;9513,4800;1,6;113;Бензин
138000;85749;595000;8098,0300;1,6;102;Бензин
87000;54059;619000;8424,6700;1,6;102;Бензин
121000;75186;614000;8356,6200;1,6;113;Бензин
57300;35605;740000;10071,4900;1,6;102;Бензин
129000;80157;530000;7213,3700;1,6;82;Бензин
90005;55926;430000;5852,3500;1,6;84;Бензин
0;0;800000;10888,1000;1,6;113;Бензин
74318;46179;485000;6600,9100;1,6;84;Бензин
136500;84817;372000;5062,9700;1,6;84;Бензин
21000;13049;700000;9527,0900;1,6;82;Бензин
0;0;746000;10153,1500;1,6;82;Бензин
13000;8078;834000;11350,8500;1,6;82;Бензин
82500;51263;495000;6737,0100;1,6;84;Бензин
164350;102122;450000;6124,5600;1,6;84;Бензин
40700;25290;690000;9390,9900;1,6;102;Бензин
15200;9445;640000;8710,4800;1,6;82;Бензин
59000;36661;615000;8370,2300;1,6;113;Бензин
86436;53709;630000;8574,3800;1,6;102;Бензин
82257;51112;805000;10956,1500;1,6;102;Бензин
65677;40810;555000;7553,6200;1,6;103;Бензин
26000;16156;799000;10874,4900;1,6;113;Бензин
65043;40416;699000;9513,4800;1,6;102;Бензин
12016;7466;755000;10275,6500;1,6;102;Бензин
74500;46292;645000;8778,5300;1,6;82;Бензин
35000;21748;650000;8846,5800;1,6;82;Бензин
127000;78914;370000;5035,7500;1,6;103;Бензин
100000;62137;427000;5811,5200;1,6;84;Бензин
75000;46603;677000;9214,0600;1,6;82;Бензин
20500;12738;699000;9513,4800;1,6;102;Бензин
25000;15534;945000;12861,5700;1,6;102;Бензин
126250;78448;450000;6124,5600;1,6;103;Бензин
83421;51835;470000;6396,7600;1,6;103;Бензин
110000;68351;395000;5376,0000;1,6;103;Бензин
96709;60092;710000;9663,1900;1,6;82;Бензин
16673;10360;800000;10888,1000;1,6;82;Бензин
109420;67990;380000;5171,8500;1,6;84;Бензин
29000;18020;735000;10003,4400;1,6;102;Бензин
66000;41010;450000;6124,5600;1,6;103;Бензин
74000;45981;495000;6737,0100;1,6;84;Бензин
48000;29826;757000;10302,8700;1,6;102;Бензин
198430;123299;275000;3742,7800;1,4;75;Бензин
55800;34673;465000;6328,7100;1,6;103;Бензин
127000;78914;340000;4627,4400;1,6;103;Бензин
22000;13670;825000;11228,3500;1,6;113;Бензин
52000;32311;655000;8914,6300;1,6;102;Бензин
437000;271539;490000;6668,9600;1,6;113;Бензин
0;0;877000;11936,0800;1,6;82;Бензин
37905;23553;699000;9513,4800;1,6;82;Бензин
48318;30023;799000;10874,4900;1,6;102;Бензин
195000;121167;400000;5444,0500;1,6;103;Бензин
37513;23309;774000;10534,2400;1,6;102;Бензин
58300;36226;725000;9867,3400;1,6;102;Бензин
118000;73322;450000;6124,5600;1,6;84;Бензин
0;0;944000;12847,9600;1,6;82;Бензин
0;0;770353;10484,6000;1,6;82;Бензин
31772;19742;865000;11772,7600;1,6;82;Бензин
120000;74565;495000;6737,0100;1,6;84;Бензин
130000;80778;355000;4831,6000;1,6;84;Бензин
125000;77671;355000;4831,6000;1,4;75;Бензин
139538;86705;398000;5416,8300;1,6;103;Бензин
22114;13741;810000;11024,2000;1,6;113;Бензин
260000;161556;270000;3674,7300;1,4;75;Бензин
9819;6101;829000;11282,8000;1,6;113;Бензин
0;0;950000;12929,6200;1,6;82;Бензин
143000;88856;345000;4695,4900;1,4;75;Бензин
91000;56545;365000;4967,7000;1,4;75;Бензин
57470;35710;519000;7063,6600;1,6;84;Бензин
112000;69594;470000;6396,7600;1,6;103;Бензин
114717;71282;400000;5444,0500;1,6;84;Бензин
81000;50331;405000;5512,1000;1,6;103;Бензин
91500;56855;525000;7145,3200;1,6;82;Бензин
40000;24855;750000;10207,6000;1,6;102;Бензин
84000;52195;450000;6124,5600;1,6;84;Бензин
112300;69780;420000;5716,2500;1,6;103;Бензин
21450;13328;579000;7880,2600;1,6;82;Бензин
204375;126993;455000;6192,6100;1,6;84;Бензин
116000;72079;520100;7078,6300;1,6;84;Бензин
169800;105509;460000;6260,6600;1,6;84;Бензин
